Question supercategory,Question subcategory,Question,Answer ID,Answer Guideline,Answer Gpage,Answer,Comment
Negative ,False assumption,Inflammatorische Komplikationen steigen besonders ab dem alter von 35 Jahren an,30.1,007-003,16,"
Wa?hrend die Ha?ufigkeit von inflammatorischen Komplikationen in der Altersgruppe zwischen 18 und 35 Jahren ein Maximum hat und danach mit zunehmendem Lebensalter abnimmt (Fernandes et al. 2009), ergeben sich gleichzeitig mit zunehmendem Alter vermehrt Komplikationen bei der operativen Entfernung (Chuang et al., 2007, Baensch et al. 2017). ",Falsche Annahme
Negative ,False assumption,Die vollständige Weisheitszahnentfernung erfolgt auch wenn es ein minimales Risiko für eine Nervschädigung gibt,31.1,007-003,10,"Intentionelle chirurgische Teilentfernung (Koronektomie) in Ausnahmefa?llen bei hohem 
Risiko von Nervscha?den (siehe Hintergrundtext unter 9.3.1) ",Falsche Annahme
Negative ,False assumption,Es bleibt bei bis zu 60% junger Erwachsener mindestens ein Weisheitszahn im Kiefer verlagert ,32.1,007-003,4,Es bleibt bei bis zu 80% junger Erwachsener mindestens ein Weisheitszahn im Kiefer retiniert ,Falsche Annahme
Simple,Table,"Zu welchen Ergebnissen sind Arx et al., 2007  zur Wurzelspitzenresektion, bei retrograden Kavität Präparation mit Ultraschallspitzen, gefüllt mit EBA-Zement oder hydraulischer Silikatzement gekommen?",33.1,007-003,13,"Beurteilung pra?diktiver Faktoren, darunter die pra?operativ radiografisch bestimmte Gro?ße der periapikalen La?sion: Erfolgsrate von 87% bei periapikaler La?sion ? 5 mm (n=104) und von 77% bei La?sion > 5 mm (n=70) ",Tabelle
Complex,Multiple guidelines,"Welche klinischen Symptome und diagnostischen Kriterien kennzeichnen akute und chronische apikale Parodontitis sowie odontogene Infektionen, und welche evidenzbasierten Therapieempfehlungen lassen sich unter Berücksichtigung der relevanten AWMF-Leitlinien ableiten? ",34.1,007-003,10,Antibiotikatherapie bei akuten Infektionen mit Ausbreitungstendenz ,Multiple Guidelines
Complex,Multiple guidelines,"Welche klinischen Symptome und diagnostischen Kriterien kennzeichnen akute und chronische apikale Parodontitis sowie odontogene Infektionen, und welche evidenzbasierten Therapieempfehlungen lassen sich unter Berücksichtigung der relevanten AWMF-Leitlinien ableiten? ",34.2,007-006,14,"Klinisch steht bei der akuten apikalen Parodontitis die Aufbissempfindlichkeit, bei in der Regel negativen Sensibilita?tstest des betreffenden Zahnes im Vordergrund wa?hrend die chronische apikale Parodontitis durch das Fehlen der klinischen Symptomatik nur radiologisch verifiziert werden kann. Bei fortschreitender Infektion und Weichgewebsbeteiligung treten bei einer odontogenen Infektion die typischen Entzu?ndungszeichen Rubor, Calor, Tumor, Dolor und Functio laesa auf. Abha?ngig von der odontogenen Ursache (Ober-, Unterkiefer, Inzisivi, Canini, Pra?molar oder Molar) zeigen die odontogenen Infektionen lokal unterschiedliche klinische Symptome und unterschiedliche Ausbreitungstendenzen. Bei einem Infiltrat oder einer lokalen odontogenen Infektion kommt es zu einer enoralen Schwellung. Diese entwickelt sich je nach ursa?chlichem Zahn vestibula?r, lingual oder palatinal, imponiert als parodontaler Abszess im krestalen Bereich des Kieferkammes oder breitet sich als Paro-Endo-La?sion oder ausgehend von einer apikalen Parodontitis apikal des ursa?chlichen Zahnes aus. Nicht abgeschlossene endodontische Therapien und Karies profunda steigern hierbei das Risiko der Entwicklung einer odontogenen Infektion.  ",Multiple Guidelines
Complex,Multiple guidelines,"Welche klinischen Symptome und diagnostischen Kriterien kennzeichnen akute und chronische apikale Parodontitis sowie odontogene Infektionen, und welche evidenzbasierten Therapieempfehlungen lassen sich unter Berücksichtigung der relevanten AWMF-Leitlinien ableiten? ",34.3,007-007,9,"Bei nicht korrelierendem klinischem und radiografischem Befund bzw. bei apikalen La?sionen, die nicht allein aus der Infektion der Wurzelkana?le erkla?rbar sind, sollte nach vertiefender Anamnese eine weitere diagnostische Abkla?rung erfolgen. ",Multiple Guidelines
Negative ,Outside guidelines,Was umfasst die Anamnese und klinische Untersuchung Diagnostik bei Lumbosakrale infantile Ha?mangiome?,35.1,006-100,8,Sonographie* der Lumbosakralregion und des Urogenitaltraktes; ggf. MRT spinal/Becken,Tabelle-Outsdie OMFS GL
Simple,Text,Womit kann eine erleichterte Blutstillung gelingen? ,36.1,007-007,24,Eine ausreichende Lokalana?sthesie kann durch das enthaltene Vasokonstringens zu einer erleichterten Blutstillung fu?hren.  ,Technik
Simple,Recommendation,Wann sollte im Rahmen einer Wurzelspitzenresektion eine weitere diagnostische Abklärung erfolgen? ,37.1,007-007,9,"Bei nicht korrelierendem klinischem und radiografischem Befund bzw. bei apikalen La?sionen, die nicht allein aus der Infektion der Wurzelkana?le erkla?rbar sind, sollte nach vertiefender Anamnese eine weitere diagnostische Abkla?rung erfolgen.  ",Empfehlung
Complex,Multiple sections,In welchen Fälllen stellt die Antibiotikatherapie eine Substitution für eine WSR dar?,38.1,007-007,16,Die alleinige Antibiotikatherapie stellt keine Substitution fu?r eine WSR dar (siehe auch Empfehlung 6). Als zusa?tzliche Maßnahme kann bei Patienten mit erho?htem lokalem oder allgemeinem Risiko die Behandlung mit einer Antibiotikatherapie begleitet werden.  ,Empfehlung
Complex,Multiple sections,In welchen Fälllen stellt die Antibiotikatherapie eine Substitution für eine WSR dar?,38.2,007-007,17,"Eine kurzzeitige Antibiotikatherapie kann bei inoperablen Patienten, z. B. mit onkologischer Therapie, Strahlentherapie, Herzklappenersatz oder multimorbiden Patienten vor einer definitiven Therapie erwogen werden. ",Empfehlung
Simple,Recommendation,Wann kann eine stationäre Behandlung einer Wurzelspitzenresktion indiziert sein?,39.1,007-007,24,"
Eine stationäre Behandlung kann beispielsweise bei schwerwiegenden Allgemeinerkrankungen oder besonderen OP-Verläufen indiziert sein.",Empfehlung
Complex,Multiple sections,Unter welchen Indikationen ist eine WSR angezeigt?,40.1,007-007,18,"bei persistierender apikaler Parodontitis, wenn bei der prima?ren endodontischen Aufbereitung die Wurzelkanalmorphologie in Apexna?he so vera?ndert bzw. verletzt wurde, dass eine orthograde Revisionsbehandlung nicht mehr erfolgversprechend erscheint. Dazu geho?ren insbesondere Perforationen, die auf orthogradem Wege nicht verschlossen werden ko?nnen, ausgepra?gte Begradigungen der Wurzelkana?le, nicht auflo?sbare Blockaden des Wurzelkanals mit Debris oder Fu?llmaterialien oder nicht mehr u?berwindbare Stufen. ",gleiche Leitlinie (Empfehlung)
Complex,Multiple sections,Unter welchen Indikationen ist eine WSR angezeigt?,40.2,007-007,19,"nach Wurzelkanalfu?llung mit u?berpresstem Wurzelkanalfu?llmaterial und klinischer Symptomatik oder Beteiligung von Nachbarstrukturen (Kieferho?hle, Mandibularkanal). Es kann neben der Entfernung des Materials aus operativen Gru?nden auch eine Wurzelspitzenresektion notwendig sein.",gleiche Leitlinie (Empfehlung)
Complex ,Multiple sections,Unter welchen Indikationen ist eine WSR angezeigt?,40.3,007-007,21,"Bei Wurzelquerfrakturen im apikalen Wurzeldrittel, wenn es zur Infektion 
des apikalen Fragmentes gekommen ist. Bei Verletzung von Wurzelspitzen im Rahmen chirurgischer Eingriffe in Verbindung mit Wurzelkanalbehandlung (z.B. Zystenentfernung, Probeexzision).",gleiche Leitlinie (Empfehlung)
Simple ,Text,In welchem Winkel soll die Wurzelspitzenresketion erfolgen?,41.1,007-007,26,Die Resektion der Wurzelspitze soll nahezu rechtwinklig zur Zahnachse erfolgen.,Sondervotum
Simple,Text,Welche zusätzlichen Hilfsmittel ermöglichen ein mikrochirurgisches Vorgehen?,42.2,007-007,29,"Der Einsatz von Vergro?ßerungshilfen (Endoskop, Lupenbrille, Dentalmikroskop) ermo?glicht ein mikrochirurgisches Vorgehen unter der Konservierung von Knochensubstanz, pra?ziserer intraoperativer Diagnostik der Wurzelspitze und ihrer retrograden Pra?paration und Obturation.",Statement
Simple,Recommendation,Welches Material ist für die retrograde Füllung empfehlenswert und welches soll nicht verwendet werden?,43.1,007-007,35,"Insbesondere die Verwendung von hydraulischen Silikatzementen oder Zinkoxid- Eugenol-basierten Zementen scheinen für die retrograde Füllung empfehlenswert zu sein. Die retrograde Füllung mit Glasionomerzement ergibt signifikant schlechtere Erfolgsraten, dieses Material soll nicht für eine retrograde Füllung verwendet werden.",Empfehlung
Simple,Text,"Welche perioperativen, postoperativen und eingriffstypischen Komplikationen können im Rahmen einer Wurzelspitzenresektion auftreten?",44.1,007-007,39,"Neben den allgemeinen perioperativen Begleitfolgen wie Blutung, Schwellung und Schmerzen sind insbesondere die folgenden eingriffstypischen Komplikationen mo?glich: 
•	Persistierende Infektion mit klinischer und/oder radiografischer Symptomatik, 
•	Postoperative Infektionen, 
•	Kontinuita?t zwischen marginaler und apikaler Parodontitis (Paro-Endo-La?sion), 
•	Fraktur der Wurzel, 
•	Scha?digung sensibler A?ste des N. trigeminus, 
•	Scha?digung benachbarter Za?hne, 
•	Luxation der Wurzelspitze in die Kieferho?hle/Nasenho?hle/den Mundboden/Nervkanal, 
•	Knochennekrosen,  
•	Belassener Wurzelrest, 
•	Sinusitis maxillaris,
•	Transport von Fremdmaterial in den Sinus maxillaris mit nachfolgender entzu?ndlicher Reaktion ",Komplikationen
Complex,Multiple sections,Wie ist der Arbeitsablauf zur: prima?ren endodontischen Behandlung und zur Revisionsbehandlung?,45.1,007-007,23,"Arbeitsablauf zur primären endodontischen Behandlung:  
1.	Bei Verdacht auf apikale Parodontitis: Ausschluss einer Neubildung durch weitere Diagnostik.
2.	Prüfung der Erhaltungswürdigkeit des Zahns: Ausschluss eine Extraktion ggf. einer Ersätzung des Zahnes 
3.	Falls erhaltungswürdig: Differenzierung ob eine Orthograde endodontische Behandlung möglich ist -Wenn möglich: endodontische Therapie mit orthograder Wurzelkanalfüllung
4.	Wenn orthograde endodontische Behandlung nicht möglich: Wurzelspitzenresektion mit retrograder Wurzelkanalfüllung.
5.	Nachkontrolle für mindestens 1 Jahr.
6.	Falls keine anhaltende radiologische Auffälligkeit oder klinische Symptomatik vorliegt, ist die Behandlung abgeschlossen.Bei persistierender Radioluzenz oder klinischer Symptomatik: Überprüfung der Erhaltungswürdigkeit und ggf. Revisionsbehandlung. ",Abbildung 
Complex,Multiple sections,Wie ist der Arbeitsablauf zur: prima?ren endodontischen Behandlung und zur Revisionsbehandlung?,45.2,007-007,24,"Arbeitsablauf zur Revisionsbehandlung 
1.Ausgangssituation: Ein wurzelkanalgefüllter Zahn mit einer der folgenden Probleme:
Indikationen: persistierende apikale Parodontitis, persistierende klinische Symptomatik, insuffiziente Wurzelkanalfüllung bei geplanter restaurativer Neuversorgung.
2.Erste Schritte:
•	Ist die Neubildung ausgeschlossen ? Wenn nicht weitere Diagnostik und gegebenenfalls Therapie
•	Prüfung, ob die Qualität der Wurzelkanalfüllung durch die Revision verbessert werden kann
3.Behandlungsoptionen:  
a) Falls die Wurzelkanalfüllung verbessert werden kann und eine orthograde Aufbereitung möglich ist: endodontische Revision mit orthograden Wurzelkanalfüllung
 b) Falls die Wurzelkanalfüllung nicht verbessert werden kann oder eine orthograde Aufbereitung nicht möglich ist: Wurzelspitzenresektion mit retrograder Wurzelkanalfüllung
4.Nachbehandlung:
•	Nachkontrolle für mindestens 1 Jahr
5.Bei Persistenz der Radioluzenz oder klinischer Symptomatik:
•	Überprüfung der Erhaltungswürdigkeit des Zahns 
•	Bei nicht erhaltungswürdigem Zahn: Extraktion und gegebenenfalls Ersatz des Zahnes
•	Bei erhaltungswürdigem Zahn: Individualentscheidung über das weitere Vorgehen
Arbeitsablauf zur Revisionsbehandlung 
1.Ausgangssituation: Ein wurzelkanalgefüllter Zahn mit einer der folgenden Probleme:
Indikationen: persistierende apikale Parodontitis, persistierende klinische Symptomatik, insuffiziente Wurzelkanalfüllung bei geplanter restaurativer Neuversorgung.
2.Erste Schritte:
•	Ist die Neubildung ausgeschlossen ? Wenn nicht weitere Diagnostik und gegebenenfalls Therapie
•	Prüfung, ob die Qualität der Wurzelkanalfüllung durch die Revision verbessert werden kann
3.Behandlungsoptionen:  
a) Falls die Wurzelkanalfüllung verbessert werden kann und eine orthograde Aufbereitung möglich ist: endodontische Revision mit orthograden Wurzelkanalfüllung
 b) Falls die Wurzelkanalfüllung nicht verbessert werden kann oder eine orthograde Aufbereitung nicht möglich ist: Wurzelspitzenresektion mit retrograder Wurzelkanalfüllung
4.Nachbehandlung:
•	Nachkontrolle für mindestens 1 Jahr
5.Bei Persistenz der Radioluzenz oder klinischer Symptomatik:
•	Überprüfung der Erhaltungswürdigkeit des Zahns 
•	Bei nicht erhaltungswürdigem Zahn: Extraktion und gegebenenfalls Ersatz des Zahnes
•	Bei erhaltungswürdigem Zahn: Individualentscheidung über das weitere Vorgehen
",Abbildung 
Simple,Text,Welche chirurgischen Therapieoptionen bestehen bei fortgeschrittener IORN?,46.1,007-046,29,"Bei ausgedehnten IORN-Fällen ist eine chirurgische Resektion notwendig. Je nach Schweregrad erfolgt eine Kasten- oder Spangenresektion zur Entfernung von nekrotischem Knochen und Sequestern, wobei die anschließende Nachsorge intensiviert wird ",
Simple ,Text,Welche Rolle spielt die hyperbare Sauerstofftherapie (HBO) in der Behandlung und Prävention der IORN?,47.1,007-046,25,"HBO kann in bestimmten Fällen prophylaktisch bei Risikopatienten eingesetzt werden, jedoch ist die Evidenzlage uneinheitlich, und potenzielle Nebenwirkungen wie Ohr-Barotrauma und Myopie sollten beachtet werden. Die Anwendung sollte daher individuell bewertet werden ",
Simple,Text,Wann ist der Einsatz von Antibiotika bei der Behandlung von IORN indiziert?,48.1,007-046,25,"Antibiotika werden bei einer akuten bakteriellen Superinfektion indiziert. Empfohlen werden Amoxicillin oder, bei Penicillinallergie, Clindamycin. In bestimmten Fällen, z. B. bei immungeschwächten Patienten, kann eine prophylaktische Antibiotikagabe erfolgen",
Negative ,False assumption,Über die Hälfte aller LKGF können pränatal festgestellt werden ,49.1,007-038,15,Es wird nur etwa die Hälfte aller LKGF pränatal festgestellt,Falsche Annahme
Complex,Multiple sections,Wann sollte bei Patienten mit LKGF eine zusätzliche genetische Untersuchung durchgeführt werden?,50.1,007-038,19,"Wenn im pränatalen Ultraschall neben einer orofazialen Spaltbildung weitere Fehlbildungen auffallen, sollte den Eltern eine pränatale Beratung durch ei- nen klinischen Humangenetiker angeboten werden.",Empfehlung
Complex,Multiple sections,Wann sollte bei Patienten mit LKGF eine zusätzliche genetische Untersuchung durchgeführt werden?,50.2,007-038,20,"Wenn im pränatalen Ultraschall neben einer orofazialen Spaltbildung weitere Fehlbildungen auffallen, sollte eine pränatale genetische Diagnostik angebo- ten werden.",Empfehlung
Complex,Multiple sections,Wann sollte bei Patienten mit LKGF eine zusätzliche genetische Untersuchung durchgeführt werden?,50.3,007-038,20,Bei isolierter orofazialer Spaltfehlbildung und positiver Familienanamnese sollte eine prä- oder postnatale Beratung durch einen klinischen Humangene- tiker angeboten werden.,Empfehlung
Complex,Multiple sections,"Welche Ernährungsform hilft, Wunddehiszenzen und postoperative Komplikationen nach einem Lippen- oder Gaumenspaltverschluss bei LKGF-Patienten zu minimieren?",51.1,007-038,28,"Postoperatives Stillen oder Flaschenfütterung scheint die Inzidenz von Wunddehiszenzen oder postoperativen Komplikationen nach Lippenspalt- verschluss nicht zu erhöhen und zeigt Vorteile gegenüber alternativen Fütte- rungsmethoden.
Bei Patienten mit LKGF nach Lippenspaltverschluss sollte unmittelbar posto- perativ das Stillen oder die Flaschenernährung wieder begonnen werden.",Empfehlung
Complex,Multiple sections,"Welche Ernährungsform hilft, Wunddehiszenzen und postoperative Komplikationen nach einem Lippen- oder Gaumenspaltverschluss bei LKGF-Patienten zu minimieren?",51.2,007-038,29,Eine frühzeitige orale Fütterung nach Gaumenspaltverschluss scheint keinen negativen Effekt auf das operative Endergebnis zu haben. Es werden längere Fütterungszeiten und ein erhöhter Analgesiebedarf bei oralen Fütterungsmethoden verglichen mit naso- gastraler Sondenernährung beschrieben.,Empfehlung
Complex ,Multiple sections,"Welche Ernährungsform hilft, Wunddehiszenzen und postoperative Komplikationen nach einem Lippen- oder Gaumenspaltverschluss bei LKGF-Patienten zu minimieren?",51.3,007-038,29,Nach Gaumenspaltverschluss kann eine unmittelbar postoperative orale Nahrungsaufnahme unter angepasster Analgesie ohne negativen Einfluss auf das operative Ergebnis angestrebt werden.,Empfehlung
Complex,Substeps,Zu welchem Zeitpunkt wird häufig mit der kieferorthopädischen Therapie bei Patienten mit LKGF begonnen und in welchen Fällen ist eine Therapie nach Wachstumsabschluss erforderlich?,52.1,007-038,30,Zumeist beginnt die kieferorthopädische Therapie jedoch in der Wechselgebissperiode und begleitet besonders die perioperative Periode der sekundären Kie- ferspaltosteoplastik.,Therapie
Complex,Substeps,Zu welchem Zeitpunkt wird häufig mit der kieferorthopädischen Therapie bei Patienten mit LKGF begonnen und in welchen Fällen ist eine Therapie nach Wachstumsabschluss erforderlich?,52.2,007-038,30,bei ausgeprägten Dysgnathien wird gegebenenfalls eine kombiniert kieferorthopädisch- kieferchirurgische Therapie nach Wachstumsabschluss erforderlich.,Therapie
Complex,Multiple sections,Welche Therapie kann zu einer posttherapeutischen Verbesserung der nasolabialen Morphologie führen?,53.1,007-038,32,Die prächirurgische Therapie mit NAM (Nasoalveolar molding) - Apparaturen bei voll- ständigen ein- oder beidseitigen Lippen-Kiefer-Gaumenspalten scheint im Vergleich zu keiner Therapie zu einer posttherapeutischen Verbesserung der nasolabialen Morpho- logie zu führen. Eine Überlegenheit gegenüber anderen Methoden der passiven prächi- rurgischen kieferorthopädischen Therapie ist bislang nicht belegt.,Empfehlung
Complex,Multiple sections,Welche Therapie kann zu einer posttherapeutischen Verbesserung der nasolabialen Morphologie führen?,53.2,007-038,33,die NAM-Therapie schien ein Einfluss auf die nasale Symmetrie zu bestehen,Text
Simple,Text,Was möchte man mit passiven Gaumenplatten erreichen?,54.1,007-038,33,"Die passiven Gaumenplatten zielen zudem wie eingangs erwähnt darauf ab, die Zungenruhelage zu korrigieren und erleichtern die Nahrungsaufnahme. ",Therapie
Simple,Recommendation,Welche Therapie sollte bei Patienten mit transversaler Enge und maxillärer Retrognathie?,55.1,007-038,34,"Bei Patienten mit LKGF, transversaler Enge und maxillärer Retrognathie sollte bevorzugt eine Therapie nach Alternate Rapid Maxillary Expansion and Con- striction (Alt-RAMEC)-Protokoll gefolgt von maxillärer Protraktion eingesetzt werden.",Empfehlung
Complex,Multiple sections,Welche Behandlung sollte bei Patienten mit LKGF mit Beteiligung des Kieferkammes vor einer Kieferspaltosteoplastik erfolgen und wann sollte sie durchgeführt werden?,56.1,007-038,35,Bei Patienten mit LKGF mit Beteiligung des Kieferkammes sollte vor einer geplanten Kieferspaltosteoplastik die kieferorthopädische Ausformung und transversale Weitung des Oberkiefers erfolgen.,Empfehlung
Complex,Multiple sections,Welche Behandlung sollte bei Patienten mit LKGF mit Beteiligung des Kieferkammes vor einer Kieferspaltosteoplastik erfolgen und wann sollte sie durchgeführt werden?,56.2,007-038,35,Die transversale Weitung sollte mindestens sechs Monate vor der geplanten Kieferspaltosteoplastik begonnen werden.,Empfehlung
Simple,Text,Welcher Zeitpunkt ist für die Transplantation von Knochen in den Bereich der Kieferspalte vorgesehen?,57.1,007-038,37,Die sekundäre Kieferspaltosteoplastik im Wechselgebiss gilt gemeinhin als der Goldstandard,Text
Simple,Recommendation,Welches Knochenmaterial gilt als Goldstandard für die Augmentation im Kieferspaltbereich?,58.1,007-038,38,Die Transplantation von autologem Knochen in den Kieferspaltbereich gilt gegenüber anderen möglichen Materialien zur Augmentation weiterhin als Goldstandard und sollte bis zum Vorliegen aussagekräftiger Ergebnisse von Studien hoher methodischer Qualität bevorzugt eingesetzt werden.,Empfehlung
